               t,                A,                B,              A+B,            VA(t),            VB(t),             V(t),     A + B - V(t)
        0.000000,         1.000000,         0.000000,         1.000000,         1.000000,         0.000000,         1.000000,         0.000000
        0.100000,         0.933033,         0.064673,         0.997706,         0.933033,         0.064673,         0.997706,         0.000000
        0.200000,         0.870551,         0.120684,         0.991235,         0.870551,         0.120684,         0.991234,         0.000000
        0.300000,         0.812252,         0.168903,         0.981156,         0.812252,         0.168903,         0.981156,         0.000000
        0.400000,         0.757858,         0.210123,         0.967981,         0.757858,         0.210123,         0.967981,         0.000000
        0.500000,         0.707107,         0.245065,         0.952171,         0.707107,         0.245065,         0.952171,         0.000000
        0.600000,         0.659754,         0.274384,         0.934138,         0.659754,         0.274384,         0.934138,         0.000000
        0.700000,         0.615572,         0.298678,         0.914250,         0.615572,         0.298677,         0.914250,         0.000000
        0.800000,         0.574349,         0.318487,         0.892836,         0.574349,         0.318487,         0.892836,         0.000000
        0.900000,         0.535887,         0.334304,         0.870190,         0.535887,         0.334304,         0.870190,         0.000000
        1.000000,         0.500000,         0.346574,         0.846574,         0.500000,         0.346574,         0.846574,         0.000000
        1.100000,         0.466516,         0.355701,         0.822218,         0.466516,         0.355701,         0.822218,         0.000000
        1.200000,         0.435275,         0.362052,         0.797327,         0.435275,         0.362052,         0.797327,         0.000000
        1.300000,         0.406126,         0.365957,         0.772083,         0.406126,         0.365957,         0.772083,         0.000000
        1.400000,         0.378929,         0.367715,         0.746644,         0.378929,         0.367715,         0.746644,         0.000000
        1.500000,         0.353553,         0.367597,         0.721150,         0.353553,         0.367597,         0.721150,        -0.000000
        1.600000,         0.329877,         0.365845,         0.695722,         0.329877,         0.365845,         0.695722,        -0.000000
        1.700000,         0.307786,         0.362680,         0.670466,         0.307786,         0.362680,         0.670466,        -0.000000
        1.800000,         0.287174,         0.358298,         0.645472,         0.287175,         0.358298,         0.645472,        -0.000000
        1.900000,         0.267943,         0.352876,         0.620819,         0.267943,         0.352876,         0.620819,        -0.000000
        2.000000,         0.250000,         0.346574,         0.596574,         0.250000,         0.346574,         0.596574,        -0.000000
        2.100000,         0.233258,         0.339533,         0.572791,         0.233258,         0.339533,         0.572791,        -0.000000
        2.200000,         0.217638,         0.331881,         0.549518,         0.217638,         0.331881,         0.549518,        -0.000000
        2.300000,         0.203063,         0.323731,         0.526794,         0.203063,         0.323731,         0.526794,        -0.000000
        2.400000,         0.189464,         0.315184,         0.504649,         0.189465,         0.315184,         0.504649,        -0.000000
        2.500000,         0.176777,         0.306331,         0.483107,         0.176777,         0.306331,         0.483107,        -0.000000
        2.600000,         0.164938,         0.297249,         0.462188,         0.164938,         0.297249,         0.462188,        -0.000000
        2.700000,         0.153893,         0.288010,         0.441903,         0.153893,         0.288010,         0.441903,        -0.000000
        2.800000,         0.143587,         0.278676,         0.422263,         0.143587,         0.278676,         0.422263,        -0.000000
        2.900000,         0.133972,         0.269300,         0.403272,         0.133972,         0.269300,         0.403272,        -0.000000
        3.000000,         0.125000,         0.259930,         0.384930,         0.125000,         0.259930,         0.384930,        -0.000000
        3.100000,         0.116629,         0.250608,         0.367237,         0.116629,         0.250608,         0.367237,        -0.000000
        3.200000,         0.108819,         0.241368,         0.350187,         0.108819,         0.241368,         0.350187,        -0.000000
        3.300000,         0.101531,         0.232242,         0.333773,         0.101532,         0.232242,         0.333773,        -0.000000
        3.400000,         0.094732,         0.223256,         0.317988,         0.094732,         0.223256,         0.317988,        -0.000000
        3.500000,         0.088388,         0.214431,         0.302820,         0.088388,         0.214431,         0.302820,        -0.000000
        3.600000,         0.082469,         0.205788,         0.288257,         0.082469,         0.205788,         0.288257,        -0.000000
        3.700000,         0.076946,         0.197340,         0.274287,         0.076947,         0.197340,         0.274287,        -0.000000
        3.800000,         0.071794,         0.189102,         0.260895,         0.071794,         0.189102,         0.260895,        -0.000000
        3.900000,         0.066986,         0.181081,         0.248067,         0.066986,         0.181081,         0.248067,        -0.000000
        4.000000,         0.062500,         0.173287,         0.235787,         0.062500,         0.173287,         0.235787,        -0.000000
        4.100000,         0.058315,         0.165724,         0.224039,         0.058315,         0.165724,         0.224039,        -0.000000
        4.200000,         0.054409,         0.158398,         0.212807,         0.054409,         0.158398,         0.212807,        -0.000000
        4.300000,         0.050766,         0.151309,         0.202075,         0.050766,         0.151309,         0.202075,        -0.000000
        4.400000,         0.047366,         0.144459,         0.191826,         0.047366,         0.144460,         0.191826,        -0.000000
        4.500000,         0.044194,         0.137849,         0.182043,         0.044194,         0.137849,         0.182043,        -0.000000
        4.600000,         0.041235,         0.131476,         0.172710,         0.041235,         0.131476,         0.172710,        -0.000000
        4.700000,         0.038473,         0.125338,         0.163811,         0.038473,         0.125338,         0.163811,        -0.000000
        4.800000,         0.035897,         0.119432,         0.155329,         0.035897,         0.119433,         0.155329,        -0.000000
        4.900000,         0.033493,         0.113756,         0.147249,         0.033493,         0.113756,         0.147249,        -0.000000
        5.000000,         0.031250,         0.108304,         0.139554,         0.031250,         0.108304,         0.139554,        -0.000000
        5.100000,         0.029157,         0.103072,         0.132230,         0.029157,         0.103072,         0.132230,        -0.000000
        5.200000,         0.027205,         0.098056,         0.125260,         0.027205,         0.098056,         0.125260,        -0.000000
        5.300000,         0.025383,         0.093249,         0.118631,         0.025383,         0.093249,         0.118631,        -0.000000
        5.400000,         0.023683,         0.088646,         0.112329,         0.023683,         0.088646,         0.112329,        -0.000000
        5.500000,         0.022097,         0.084241,         0.106338,         0.022097,         0.084241,         0.106338,        -0.000000
        5.600000,         0.020617,         0.080029,         0.100646,         0.020617,         0.080029,         0.100646,        -0.000000
        5.700000,         0.019237,         0.076003,         0.095239,         0.019237,         0.076003,         0.095239,        -0.000000
        5.800000,         0.017948,         0.072157,         0.090106,         0.017948,         0.072157,         0.090106,        -0.000000
        5.900000,         0.016746,         0.068486,         0.085232,         0.016746,         0.068486,         0.085232,        -0.000000
        6.000000,         0.015625,         0.064982,         0.080607,         0.015625,         0.064983,         0.080608,        -0.000000
        6.100000,         0.014579,         0.061641,         0.076220,         0.014579,         0.061641,         0.076220,        -0.000000
        6.200000,         0.013602,         0.058456,         0.072059,         0.013602,         0.058456,         0.072059,        -0.000000
        6.300000,         0.012691,         0.055421,         0.068113,         0.012691,         0.055421,         0.068113,        -0.000000
        6.400000,         0.011842,         0.052531,         0.064372,         0.011842,         0.052531,         0.064372,        -0.000000
        6.500000,         0.011049,         0.049779,         0.060827,         0.011049,         0.049779,         0.060827,        -0.000000
        6.600000,         0.010309,         0.047160,         0.057468,         0.010309,         0.047160,         0.057468,        -0.000000
        6.700000,         0.009618,         0.044668,         0.054287,         0.009618,         0.044668,         0.054287,        -0.000000
        6.800000,         0.008974,         0.042299,         0.051273,         0.008974,         0.042299,         0.051273,        -0.000000
        6.900000,         0.008373,         0.040047,         0.048420,         0.008373,         0.040047,         0.048420,        -0.000000
        7.000000,         0.007812,         0.037906,         0.045719,         0.007812,         0.037906,         0.045719,        -0.000000
        7.100000,         0.007289,         0.035873,         0.043163,         0.007289,         0.035873,         0.043163,        -0.000000
        7.200000,         0.006801,         0.033942,         0.040743,         0.006801,         0.033942,         0.040744,        -0.000000
        7.300000,         0.006346,         0.032109,         0.038455,         0.006346,         0.032109,         0.038455,        -0.000000
        7.400000,         0.005921,         0.030369,         0.036290,         0.005921,         0.030369,         0.036290,        -0.000000
        7.500000,         0.005524,         0.028718,         0.034243,         0.005524,         0.028719,         0.034243,        -0.000000
        7.600000,         0.005154,         0.027153,         0.032307,         0.005154,         0.027153,         0.032307,        -0.000000
        7.700000,         0.004809,         0.025668,         0.030477,         0.004809,         0.025668,         0.030477,        -0.000000
        7.800000,         0.004487,         0.024260,         0.028747,         0.004487,         0.024260,         0.028747,        -0.000000
        7.900000,         0.004187,         0.022925,         0.027112,         0.004187,         0.022925,         0.027112,        -0.000000
        8.000000,         0.003906,         0.021661,         0.025567,         0.003906,         0.021661,         0.025567,        -0.000000
        8.100000,         0.003645,         0.020463,         0.024108,         0.003645,         0.020463,         0.024108,        -0.000000
        8.200000,         0.003401,         0.019328,         0.022729,         0.003401,         0.019328,         0.022729,        -0.000000
        8.300000,         0.003173,         0.018254,         0.021427,         0.003173,         0.018254,         0.021427,        -0.000000
        8.400000,         0.002960,         0.017237,         0.020197,         0.002960,         0.017237,         0.020197,        -0.000000
        8.500000,         0.002762,         0.016274,         0.019036,         0.002762,         0.016274,         0.019036,        -0.000000
        8.600000,         0.002577,         0.015363,         0.017940,         0.002577,         0.015363,         0.017940,        -0.000000
        8.700000,         0.002405,         0.014501,         0.016905,         0.002405,         0.014501,         0.016905,        -0.000000
        8.800000,         0.002244,         0.013685,         0.015929,         0.002244,         0.013685,         0.015929,        -0.000000
